CUSTOM_NODE,YEAR,VALUE
MOZXX,2048,124
MOZXX,2049,127
MOZXX,2050,131
MWIXX,2023,6.5
MWIXX,2024,6.5
MWIXX,2025,25
MWIXX,2026,28
MWIXX,2027,31
MWIXX,2028,34
MWIXX,2029,37
MWIXX,2030,41
MWIXX,2031,45
MWIXX,2032,49
MWIXX,2033,53
MWIXX,2034,57
MWIXX,2035,62
MWIXX,2036,66
MWIXX,2037,71
MWIXX,2038,76
MWIXX,2039,82
MWIXX,2040,87
MWIXX,2041,96
MWIXX,2042,105
MWIXX,2043,114
MWIXX,2044,125
MWIXX,2045,137
MWIXX,2046,149
MWIXX,2047,163
MWIXX,2048,179
MWIXX,2049,195
MWIXX,2050,214
NAMXX,2023,8
NAMXX,2024,8
NAMXX,2025,22
NAMXX,2026,23
NAMXX,2027,24
NAMXX,2028,25
NAMXX,2029,26
NAMXX,2030,26
NAMXX,2031,27
NAMXX,2032,28
NAMXX,2033,29
NAMXX,2034,30
NAMXX,2035,31
NAMXX,2036,32
NAMXX,2037,32
NAMXX,2038,33
NAMXX,2039,34
NAMXX,2040,35
NAMXX,2041,36
NAMXX,2042,37
NAMXX,2043,39
NAMXX,2044,40
NAMXX,2045,41
NAMXX,2046,42
NAMXX,2047,44
NAMXX,2048,45
NAMXX,2049,47
NAMXX,2050,48
SWZXX,2023,2
SWZXX,2024,2
SWZXX,2025,6
SWZXX,2026,6
SWZXX,2027,6
SWZXX,2028,7
SWZXX,2029,7
SWZXX,2030,7
SWZXX,2031,7
SWZXX,2032,7
SWZXX,2033,7
SWZXX,2034,8
SWZXX,2035,8
SWZXX,2036,8
SWZXX,2037,8
SWZXX,2038,8
SWZXX,2039,9
SWZXX,2040,9
SWZXX,2041,9
SWZXX,2042,9
SWZXX,2043,10
SWZXX,2044,10
SWZXX,2045,10
SWZXX,2046,10
SWZXX,2047,11
SWZXX,2048,11
SWZXX,2049,11
SWZXX,2050,12
TZAXX,2023,31
TZAXX,2024,46.5
TZAXX,2025,54
TZAXX,2026,61
TZAXX,2027,69
TZAXX,2028,78
TZAXX,2029,87
TZAXX,2030,97
TZAXX,2031,107
TZAXX,2032,118
TZAXX,2033,130
TZAXX,2034,142
TZAXX,2035,155
TZAXX,2036,169
TZAXX,2037,183
TZAXX,2038,198
TZAXX,2039,213
TZAXX,2040,229
TZAXX,2041,254
TZAXX,2042,281
TZAXX,2043,312
TZAXX,2044,345
TZAXX,2045,382
TZAXX,2046,423
TZAXX,2047,469
TZAXX,2048,519
TZAXX,2049,575
TZAXX,2050,637
ZAFXX,2023,776
ZAFXX,2024,807
ZAFXX,2025,1040
ZAFXX,2026,1072
ZAFXX,2027,1105
ZAFXX,2028,1136
ZAFXX,2029,1161
ZAFXX,2030,1184
ZAFXX,2031,1206
ZAFXX,2032,1228
ZAFXX,2033,1249
ZAFXX,2034,1270
ZAFXX,2035,1291
ZAFXX,2036,1312
ZAFXX,2037,1332
ZAFXX,2038,1352
ZAFXX,2039,1372
ZAFXX,2040,1392
ZAFXX,2041,1423
ZAFXX,2042,1454
ZAFXX,2043,1486
ZAFXX,2044,1519
ZAFXX,2045,1552
ZAFXX,2046,1586
ZAFXX,2047,1621
ZAFXX,2048,1657
ZAFXX,2049,1693
ZAFXX,2050,1730
ZMBXX,2023,73
ZMBXX,2024,77
ZMBXX,2025,81
ZMBXX,2026,85
ZMBXX,2027,90
ZMBXX,2028,94
ZMBXX,2029,99
ZMBXX,2030,103
ZMBXX,2031,108
ZMBXX,2032,113
ZMBXX,2033,118
ZMBXX,2034,123
ZMBXX,2035,128
ZMBXX,2036,133
ZMBXX,2037,139
ZMBXX,2038,144
ZMBXX,2039,150
ZMBXX,2040,156
ZMBXX,2041,163
ZMBXX,2042,170
ZMBXX,2043,177
ZMBXX,2044,185
ZMBXX,2045,193
ZMBXX,2046,202
ZMBXX,2047,210
ZMBXX,2048,220
ZMBXX,2049,229
ZMBXX,2050,239
ZWEXX,2023,32
ZWEXX,2024,32
ZWEXX,2025,45
ZWEXX,2026,48
ZWEXX,2027,50
ZWEXX,2028,52
ZWEXX,2029,55
ZWEXX,2030,57
ZWEXX,2031,60
ZWEXX,2032,62
ZWEXX,2033,65
ZWEXX,2034,67
ZWEXX,2035,70
ZWEXX,2036,72
ZWEXX,2037,75
ZWEXX,2038,78
ZWEXX,2039,80
ZWEXX,2040,83
ZWEXX,2041,87
ZWEXX,2042,91
ZWEXX,2043,95
ZWEXX,2044,99
ZWEXX,2045,103
ZWEXX,2046,108
ZWEXX,2047,112
ZWEXX,2048,117
ZWEXX,2049,123
ZWEXX,2050,128
