technology,weo_region,parameter,2024,2035,2050
Hydropower - small-scale,Brazil,"Capital costs
($2019 per kW)",3350,3350,3350
IGCC,Europe,"Capital costs
($2019 per kW)",2500,2300,2300
IGCC,United States,"Capital costs
($2019 per kW)",2600,2450,2400
IGCC,Japan,"Capital costs
($2019 per kW)",2900,2700,2700
IGCC,Russia,"Capital costs
($2019 per kW)",2500,2300,2300
IGCC,China,"Capital costs
($2019 per kW)",1100,900,900
IGCC,India,"Capital costs
($2019 per kW)",1600,1500,1500
IGCC,Middle East,"Capital costs
($2019 per kW)",2000,1900,1900
IGCC,Africa,"Capital costs
($2019 per kW)",2200,2100,2100
IGCC,Brazil,"Capital costs
($2019 per kW)",2000,1900,1900
IGCC + CCS,Europe,"Capital costs
($2019 per kW)",5850,5550,5300
IGCC + CCS,United States,"Capital costs
($2019 per kW)",5950,5650,5350
IGCC + CCS,Japan,"Capital costs
($2019 per kW)",6250,5950,5700
IGCC + CCS,Russia,"Capital costs
($2019 per kW)",5450,5150,4950
IGCC + CCS,China,"Capital costs
($2019 per kW)",3650,3350,3150
IGCC + CCS,India,"Capital costs
($2019 per kW)",4150,3900,3700
IGCC + CCS,Middle East,"Capital costs
($2019 per kW)",0,0,0
IGCC + CCS,Africa,"Capital costs
($2019 per kW)",4850,4550,4350
IGCC + CCS,Brazil,"Capital costs
($2019 per kW)",0,0,0
Marine,Europe,"Capital costs
($2019 per kW)",6950,4200,2800
Marine,United States,"Capital costs
($2019 per kW)",6850,4300,2950
Marine,Japan,"Capital costs
($2019 per kW)",7000,4400,3000
Marine,Russia,"Capital costs
($2019 per kW)",6650,4450,3050
Marine,China,"Capital costs
($2019 per kW)",6600,4250,2850
Marine,India,"Capital costs
($2019 per kW)",6500,4250,2850
Marine,Middle East,"Capital costs
($2019 per kW)",6650,4450,3050
Marine,Africa,"Capital costs
($2019 per kW)",6550,4250,2900
Marine,Brazil,"Capital costs
($2019 per kW)",0,0,0
Nuclear,Europe,"Capital costs
($2019 per kW)",6600,5000,4500
Nuclear,United States,"Capital costs
($2019 per kW)",5000,4700,4500
Nuclear,Japan,"Capital costs
($2019 per kW)",4200,4000,4000
Nuclear,Russia,"Capital costs
($2019 per kW)",3800,3800,3800
Nuclear,China,"Capital costs
($2019 per kW)",2800,2700,2500
Nuclear,India,"Capital costs
($2019 per kW)",2800,2800,2800
Nuclear,Middle East,"Capital costs
($2019 per kW)",3500,3500,3500
Nuclear,Africa,"Capital costs
($2019 per kW)",4150,4150,4150
Nuclear,Brazil,"Capital costs
($2019 per kW)",4000,4000,4000
Oil,Europe,"Capital costs
($2019 per kW)",1240,1240,1240
Oil,United States,"Capital costs
($2019 per kW)",1240,1240,1240
Oil,Japan,"Capital costs
($2019 per kW)",1240,1240,1240
Oil,Russia,"Capital costs
($2019 per kW)",1240,1240,1240
Oil,China,"Capital costs
($2019 per kW)",1240,1240,1240
Oil,India,"Capital costs
($2019 per kW)",1240,1240,1240
Oil,Middle East,"Capital costs
($2019 per kW)",1240,1240,1240
Oil,Africa,"Capital costs
($2019 per kW)",1240,1240,1240
Oil,Brazil,"Capital costs
($2019 per kW)",1240,1240,1240
Other,Europe,"Capital costs
($2019 per kW)",1240,1240,1240
Other,United States,"Capital costs
($2019 per kW)",1240,1240,1240
Other,Japan,"Capital costs
($2019 per kW)",1240,1240,1240
Other,Russia,"Capital costs
($2019 per kW)",1240,1240,1240
Other,China,"Capital costs
($2019 per kW)",1240,1240,1240
Other,India,"Capital costs
($2019 per kW)",1240,1240,1240
Other,Middle East,"Capital costs
($2019 per kW)",1240,1240,1240
Other,Africa,"Capital costs
($2019 per kW)",1240,1240,1240
Other,Brazil,"Capital costs
($2019 per kW)",1240,1240,1240
Oxyfuel + CCS,Europe,"Capital costs
($2019 per kW)",5700,5500,5300
Oxyfuel + CCS,United States,"Capital costs
($2019 per kW)",5800,5700,5400
Oxyfuel + CCS,Japan,"Capital costs
($2019 per kW)",6100,6000,5750
Oxyfuel + CCS,Russia,"Capital costs
($2019 per kW)",5300,5200,5000
Oxyfuel + CCS,China,"Capital costs
($2019 per kW)",3500,3400,3150
Oxyfuel + CCS,India,"Capital costs
($2019 per kW)",4100,4000,3800
Oxyfuel + CCS,Middle East,"Capital costs
($2019 per kW)",0,0,0
Oxyfuel + CCS,Africa,"Capital costs
($2019 per kW)",4800,4700,4500
Oxyfuel + CCS,Brazil,"Capital costs
($2019 per kW)",0,0,0
Petroleum,Europe,"Capital costs
($2019 per kW)",1240,1240,1240
Petroleum,United States,"Capital costs
($2019 per kW)",1240,1240,1240
Petroleum,Japan,"Capital costs
($2019 per kW)",1240,1240,1240
Petroleum,Russia,"Capital costs
($2019 per kW)",1240,1240,1240
Petroleum,China,"Capital costs
($2019 per kW)",1240,1240,1240
Petroleum,India,"Capital costs
($2019 per kW)",1240,1240,1240
Petroleum,Middle East,"Capital costs
($2019 per kW)",1240,1240,1240
Petroleum,Africa,"Capital costs
($2019 per kW)",1240,1240,1240
Petroleum,Brazil,"Capital costs
($2019 per kW)",1240,1240,1240
Solar photovoltaics - Buildings,Europe,"Capital costs
($2019 per kW)",1000,640,550
Solar photovoltaics - Buildings,United States,"Capital costs
($2019 per kW)",3300,2140,1840
Solar photovoltaics - Buildings,Japan,"Capital costs
($2019 per kW)",1890,1330,1150
Solar photovoltaics - Buildings,Russia,"Capital costs
($2019 per kW)",1610,1080,910
Solar photovoltaics - Buildings,China,"Capital costs
($2019 per kW)",660,390,320
Solar photovoltaics - Buildings,India,"Capital costs
($2019 per kW)",580,350,280
Solar photovoltaics - Buildings,Middle East,"Capital costs
($2019 per kW)",960,580,480
Solar photovoltaics - Buildings,Africa,"Capital costs
($2019 per kW)",1470,880,710
Solar photovoltaics - Buildings,Brazil,"Capital costs
($2019 per kW)",560,360,310
Solar photovoltaics - Large scale,Europe,"Capital costs
($2019 per kW)",760,480,410
Solar photovoltaics - Large scale,United States,"Capital costs
($2019 per kW)",1060,680,570
Solar photovoltaics - Large scale,Japan,"Capital costs
($2019 per kW)",1910,1290,1110
Solar photovoltaics - Large scale,Russia,"Capital costs
($2019 per kW)",1250,810,680
Solar photovoltaics - Large scale,China,"Capital costs
($2019 per kW)",590,360,290
Solar photovoltaics - Large scale,India,"Capital costs
($2019 per kW)",530,320,260
Solar photovoltaics - Large scale,Middle East,"Capital costs
($2019 per kW)",580,350,290
Solar photovoltaics - Large scale,Africa,"Capital costs
($2019 per kW)",1060,650,530
Solar photovoltaics - Large scale,Brazil,"Capital costs
($2019 per kW)",720,460,390
Steam Coal - SUBCRITICAL,Europe,"Capital costs
($2019 per kW)",1700,1700,1700
Steam Coal - SUBCRITICAL,United States,"Capital costs
($2019 per kW)",1800,1800,1800
Steam Coal - SUBCRITICAL,Japan,"Capital costs
($2019 per kW)",2100,2100,2100
Steam Coal - SUBCRITICAL,Russia,"Capital costs
($2019 per kW)",1700,1700,1700
Steam Coal - SUBCRITICAL,China,"Capital costs
($2019 per kW)",600,600,600
Steam Coal - SUBCRITICAL,India,"Capital costs
($2019 per kW)",1000,1000,1000
Steam Coal - SUBCRITICAL,Middle East,"Capital costs
($2019 per kW)",1300,1300,1300
Steam Coal - SUBCRITICAL,Africa,"Capital costs
($2019 per kW)",1300,1300,1300
Steam Coal - SUBCRITICAL,Brazil,"Capital costs
($2019 per kW)",1300,1300,1300
Steam Coal - SUPERCRITICAL,Europe,"Capital costs
($2019 per kW)",2000,2000,2000
Steam Coal - SUPERCRITICAL,United States,"Capital costs
($2019 per kW)",2100,2100,2100
Steam Coal - SUPERCRITICAL,Japan,"Capital costs
($2019 per kW)",2400,2400,2400
Steam Coal - SUPERCRITICAL,Russia,"Capital costs
($2019 per kW)",2000,2000,2000
Steam Coal - SUPERCRITICAL,China,"Capital costs
($2019 per kW)",700,700,700
Steam Coal - SUPERCRITICAL,India,"Capital costs
($2019 per kW)",1200,1200,1200
Steam Coal - SUPERCRITICAL,Middle East,"Capital costs
($2019 per kW)",1600,1600,1600
Steam Coal - SUPERCRITICAL,Africa,"Capital costs
($2019 per kW)",1600,1600,1600
Steam Coal - SUPERCRITICAL,Brazil,"Capital costs
($2019 per kW)",1600,1600,1600
Steam Coal - ULTRASUPERCRITICAL,Europe,"Capital costs
($2019 per kW)",2200,2200,2200
Steam Coal - ULTRASUPERCRITICAL,United States,"Capital costs
($2019 per kW)",2300,2300,2300
Steam Coal - ULTRASUPERCRITICAL,Japan,"Capital costs
($2019 per kW)",2600,2600,2600
Steam Coal - ULTRASUPERCRITICAL,Russia,"Capital costs
($2019 per kW)",2200,2200,2200
Steam Coal - ULTRASUPERCRITICAL,China,"Capital costs
($2019 per kW)",800,800,800
Steam Coal - ULTRASUPERCRITICAL,India,"Capital costs
($2019 per kW)",1400,1400,1400
Steam Coal - ULTRASUPERCRITICAL,Middle East,"Capital costs
($2019 per kW)",1600,1600,1600
Steam Coal - ULTRASUPERCRITICAL,Africa,"Capital costs
($2019 per kW)",1850,1850,1850
Steam Coal - ULTRASUPERCRITICAL,Brazil,"Capital costs
($2019 per kW)",1800,1800,1800
Wind offshore,Europe,"Capital costs
($2019 per kW)",3460,2360,2020
Wind offshore,United States,"Capital costs
($2019 per kW)",4060,2940,2420
Wind offshore,Japan,"Capital costs
($2019 per kW)",5680,3860,3240
Wind offshore,Russia,"Capital costs
($2019 per kW)",4600,3200,2640
Wind offshore,China,"Capital costs
($2019 per kW)",1520,1060,900
Wind offshore,India,"Capital costs
($2019 per kW)",2620,1800,1500
Wind offshore,Middle East,"Capital costs
($2019 per kW)",4400,3020,2500
Wind offshore,Africa,"Capital costs
($2019 per kW)",4260,2940,2440
Wind offshore,Brazil,"Capital costs
($2019 per kW)",4440,3080,2540
Wind onshore,Europe,"Capital costs
($2019 per kW)",1620,1540,1510
Wind onshore,United States,"Capital costs
($2019 per kW)",1570,1510,1470
Wind onshore,Japan,"Capital costs
($2019 per kW)",2890,2730,2670
Wind onshore,Russia,"Capital costs
($2019 per kW)",1480,1400,1370
Wind onshore,China,"Capital costs
($2019 per kW)",860,810,790
Wind onshore,India,"Capital costs
($2019 per kW)",1110,1050,1020
Wind onshore,Middle East,"Capital costs
($2019 per kW)",1410,1320,1270
Wind onshore,Africa,"Capital costs
($2019 per kW)",1460,1370,1330
Wind onshore,Brazil,"Capital costs
($2019 per kW)",1310,1240,1210
Biogas - DG Industry,Indonesia,"Annual O&M Costs
($2019 per kW)",100.8,92.7,80.7
Biogas - DG Industry,Indonesia,"Capital costs
($2019 per kW)",2900,2700,2300
Biomass - waste incineration - CHP,Indonesia,"Annual O&M Costs
($2019 per kW)",253.4,233.7,201.2
Biomass - waste incineration - CHP,Indonesia,"Capital costs
($2019 per kW)",5600,5200,4600
Biomass CHP Medium,Indonesia,"Annual O&M Costs
($2019 per kW)",49.5,45.5,39.6
Biomass CHP Medium,Indonesia,"Capital costs
($2019 per kW)",1800,1600,1400
Biomass CHP Small,Indonesia,"Annual O&M Costs
($2019 per kW)",49.5,45.5,39.6
Biomass CHP Small,Indonesia,"Capital costs
($2019 per kW)",1800,1600,1400
Biomass Cofiring,Indonesia,"Annual O&M Costs
($2019 per kW)",49.5,45.5,39.6
Biomass Cofiring,Indonesia,"Capital costs
($2019 per kW)",1800,1600,1400
Biomass Power plant,Indonesia,"Annual O&M Costs
($2019 per kW)",49.5,45.5,39.6
Biomass Power plant,Indonesia,"Capital costs
($2019 per kW)",1800,1600,1400
CCGT,Indonesia,"Annual O&M Costs
($2019 per kW)",23.5,22.8,22.5
CCGT,Indonesia,"Capital costs
($2019 per kW)",690,660,635
CCGT - CHP,Indonesia,"Annual O&M Costs
($2019 per kW)",23.5,22.8,23
CCGT - CHP,Indonesia,"Capital costs
($2019 per kW)",690,660,635
CCGT + CCS,Indonesia,"Annual O&M Costs
($2019 per kW)",32.5,31.5,32.1
CCGT + CCS,Indonesia,"Capital costs
($2019 per kW)",1840,1630,1495
Coal* + CCS,Indonesia,"Annual O&M Costs
($2019 per kW)",83,80.5,79.3
Coal* + CCS,Indonesia,"Capital costs
($2019 per kW)",4276,4020,3759
Concentrating solar power,Indonesia,"Annual O&M Costs
($2019 per kW)",230,180,160
Concentrating solar power,Indonesia,"Capital costs
($2019 per kW)",5700,4550,3950
Fuel cell (distributed electricity generation),Indonesia,"Annual O&M Costs
($2019 per kW)",150,75,75
Fuel cell (distributed electricity generation),Indonesia,"Capital costs
($2019 per kW)",5000,2500,2500
Gas turbine,Indonesia,"Annual O&M Costs
($2019 per kW)",23.2,22.5,22.2
Gas turbine,Indonesia,"Capital costs
($2019 per kW)",770,730,705
Geothermal,Indonesia,"Annual O&M Costs
($2019 per kW)",50,43,39.3
Geothermal,Indonesia,"Capital costs
($2019 per kW)",4000,3440,3140
Hydropower - large-scale,Indonesia,"Annual O&M Costs
($2019 per kW)",37.7,36.2,34.9
Hydropower - large-scale,Indonesia,"Capital costs
($2019 per kW)",2080,2000,1925
Hydropower - small-scale,Indonesia,"Annual O&M Costs
($2019 per kW)",53,50.9,49.1
Hydropower - small-scale,Indonesia,"Capital costs
($2019 per kW)",2700,2590,2495
IGCC,Indonesia,"Annual O&M Costs
($2019 per kW)",60,58.2,57.3
IGCC,Indonesia,"Capital costs
($2019 per kW)",2400,2210,2125
IGCC + CCS,Indonesia,"Annual O&M Costs
($2019 per kW)",68.9,66.8,65.8
IGCC + CCS,Indonesia,"Capital costs
($2019 per kW)",3350,3080,2905
Marine,Indonesia,"Annual O&M Costs
($2019 per kW)",70.8,62.5,49.1
Marine,Indonesia,"Capital costs
($2019 per kW)",5500,5100,5100
Nuclear,Indonesia,"Annual O&M Costs
($2019 per kW)",150,150,150
Nuclear,Indonesia,"Capital costs
($2019 per kW)",5910,5628,5628
Oil,Indonesia,"Annual O&M Costs
($2019 per kW)",8,8,7.9
Oil,Indonesia,"Capital costs
($2019 per kW)",800,800,790
Other,Indonesia,"Annual O&M Costs
($2019 per kW)",8,8,7.9
Other,Indonesia,"Capital costs
($2019 per kW)",800,800,790
Oxyfuel + CCS,Indonesia,"Annual O&M Costs
($2019 per kW)",185,175,167.5
Oxyfuel + CCS,Indonesia,"Capital costs
($2019 per kW)",6100,5900,5625
Petroleum,Indonesia,"Annual O&M Costs
($2019 per kW)",8,8,7.9
Petroleum,Indonesia,"Capital costs
($2019 per kW)",800,800,790
Solar photovoltaics - Buildings,Indonesia,"Annual O&M Costs
($2019 per kW)",14.4,10,9
Solar photovoltaics - Buildings,Indonesia,"Capital costs
($2019 per kW)",1320,940,815
Solar photovoltaics - Large scale,Indonesia,"Annual O&M Costs
($2019 per kW)",14.4,10,9
Solar photovoltaics - Large scale,Indonesia,"Capital costs
($2019 per kW)",790,560,485
Steam Coal - SUBCRITICAL,Indonesia,"Annual O&M Costs
($2019 per kW)",45.3,43.9,43.3
Steam Coal - SUBCRITICAL,Indonesia,"Capital costs
($2019 per kW)",1650,1600,1575
Steam Coal - SUPERCRITICAL,Indonesia,"Annual O&M Costs
($2019 per kW)",41.2,40,39.4
Steam Coal - SUPERCRITICAL,Indonesia,"Capital costs
($2019 per kW)",1400,1360,1340
Steam Coal - ULTRASUPERCRITICAL,Indonesia,"Annual O&M Costs
($2019 per kW)",56.6,54.9,54.1
Steam Coal - ULTRASUPERCRITICAL,Indonesia,"Capital costs
($2019 per kW)",1520,1480,1455
Wind offshore,Indonesia,"Annual O&M Costs
($2019 per kW)",72.6,61.7,57
Wind offshore,Indonesia,"Capital costs
($2019 per kW)",3500,2980,2750
Wind onshore,Indonesia,"Annual O&M Costs
($2019 per kW)",60,51,47.1
Wind onshore,Indonesia,"Capital costs
($2019 per kW)",1500,1280,1180
Biogas - DG Industry,Vietnam,"Annual O&M Costs
($2019 per kW)",100.8,92.7,80.7
Biogas - DG Industry,Vietnam,"Capital costs
($2019 per kW)",2900,2700,2300
Biomass - waste incineration - CHP,Vietnam,"Annual O&M Costs
($2019 per kW)",253.4,233.7,201.2
Biomass - waste incineration - CHP,Vietnam,"Capital costs
($2019 per kW)",5600,5200,4600
Biomass CHP Medium,Vietnam,"Annual O&M Costs
($2019 per kW)",49.5,45.5,39.6
Biomass CHP Medium,Vietnam,"Capital costs
($2019 per kW)",1800,1600,1400
Biomass CHP Small,Vietnam,"Annual O&M Costs
($2019 per kW)",49.5,45.5,39.6
Biomass CHP Small,Vietnam,"Capital costs
($2019 per kW)",1800,1600,1400
Biomass Cofiring,Vietnam,"Annual O&M Costs
($2019 per kW)",49.5,45.5,39.6
Biomass Cofiring,Vietnam,"Capital costs
($2019 per kW)",1800,1600,1400
Biomass Power plant,Vietnam,"Annual O&M Costs
($2019 per kW)",49.5,45.5,39.6
Biomass Power plant,Vietnam,"Capital costs
($2019 per kW)",1800,1600,1400
CCGT,Vietnam,"Annual O&M Costs
($2019 per kW)",29.3,28.5,27.6
CCGT,Vietnam,"Capital costs
($2019 per kW)",770,690,680
CCGT - CHP,Vietnam,"Annual O&M Costs
($2019 per kW)",29.3,28.5,27.6
CCGT - CHP,Vietnam,"Capital costs
($2019 per kW)",770,690,680
CCGT + CCS,Vietnam,"Annual O&M Costs
($2019 per kW)",38.7,37.5,36.4
CCGT + CCS,Vietnam,"Capital costs
($2019 per kW)",1970,1700,1460
Coal* + CCS,Vietnam,"Annual O&M Costs
($2019 per kW)",83.1,80.6,78.1
Coal* + CCS,Vietnam,"Capital costs
($2019 per kW)",4454,4224,3701
Concentrating solar power,Vietnam,"Annual O&M Costs
($2019 per kW)",230,180,160
Concentrating solar power,Vietnam,"Capital costs
($2019 per kW)",5700,4550,3950
Fuel cell (distributed electricity generation),Vietnam,"Annual O&M Costs
($2019 per kW)",150,75,75
Fuel cell (distributed electricity generation),Vietnam,"Capital costs
($2019 per kW)",5000,2500,2500
Gas turbine,Vietnam,"Annual O&M Costs
($2019 per kW)",24.1,23.4,22.7
Gas turbine,Vietnam,"Capital costs
($2019 per kW)",610,590,560
Geothermal,Vietnam,"Annual O&M Costs
($2019 per kW)",18.7,17.4,15.8
Geothermal,Vietnam,"Capital costs
($2019 per kW)",3600,3400,3100
Hydropower - large-scale,Vietnam,"Annual O&M Costs
($2019 per kW)",37.7,35.8,33.6
Hydropower - large-scale,Vietnam,"Capital costs
($2019 per kW)",1500,1500,1500
Hydropower - small-scale,Vietnam,"Annual O&M Costs
($2019 per kW)",41.9,39.8,37.3
Hydropower - small-scale,Vietnam,"Capital costs
($2019 per kW)",1750,1750,1750
IGCC,Vietnam,"Annual O&M Costs
($2019 per kW)",60,58.2,57.3
IGCC,Vietnam,"Capital costs
($2019 per kW)",2400,2210,2125
IGCC + CCS,Vietnam,"Annual O&M Costs
($2019 per kW)",103.5,100.3,98.2
IGCC + CCS,Vietnam,"Capital costs
($2019 per kW)",4430,4070,3605
Marine,Vietnam,"Annual O&M Costs
($2019 per kW)",70.8,62.5,49.1
Marine,Vietnam,"Capital costs
($2019 per kW)",5500,5100,5100
Nuclear,Vietnam,"Annual O&M Costs
($2019 per kW)",150,150,150
Nuclear,Vietnam,"Capital costs
($2019 per kW)",5910,5628,5628
Oil,Vietnam,"Annual O&M Costs
($2019 per kW)",10,9.5,9
Oil,Vietnam,"Capital costs
($2019 per kW)",600,580,550
Other,Vietnam,"Annual O&M Costs
($2019 per kW)",10,9.5,9
Other,Vietnam,"Capital costs
($2019 per kW)",600,580,550
Oxyfuel + CCS,Vietnam,"Annual O&M Costs
($2019 per kW)",185,175,167.5
Oxyfuel + CCS,Vietnam,"Capital costs
($2019 per kW)",6100,5900,5625
Petroleum,Vietnam,"Annual O&M Costs
($2019 per kW)",10,9.5,9
Petroleum,Vietnam,"Capital costs
($2019 per kW)",600,580,550
Solar photovoltaics - Buildings,Vietnam,"Annual O&M Costs
($2019 per kW)",14.8,10,8
Solar photovoltaics - Buildings,Vietnam,"Capital costs
($2019 per kW)",1000,710,520
Solar photovoltaics - Large scale,Vietnam,"Annual O&M Costs
($2019 per kW)",15.5,10,8
Solar photovoltaics - Large scale,Vietnam,"Capital costs
($2019 per kW)",930,660,480
Steam Coal - SUBCRITICAL,Vietnam,"Annual O&M Costs
($2019 per kW)",45.3,43.9,43.3
Steam Coal - SUBCRITICAL,Vietnam,"Capital costs
($2019 per kW)",1650,1600,1575
Steam Coal - SUPERCRITICAL,Vietnam,"Annual O&M Costs
($2019 per kW)",39.6,38.5,37.2
Steam Coal - SUPERCRITICAL,Vietnam,"Capital costs
($2019 per kW)",1460,1450,1420
Steam Coal - ULTRASUPERCRITICAL,Vietnam,"Annual O&M Costs
($2019 per kW)",61.1,59.4,57.4
Steam Coal - ULTRASUPERCRITICAL,Vietnam,"Capital costs
($2019 per kW)",1630,1610,1600
Wind offshore,Vietnam,"Annual O&M Costs
($2019 per kW)",70,42,39
Wind offshore,Vietnam,"Capital costs
($2019 per kW)",3150,2150,1700
Wind onshore,Vietnam,"Annual O&M Costs
($2019 per kW)",42,36,28
Wind onshore,Vietnam,"Capital costs
($2019 per kW)",1500,1280,1080
